hospital,date,ed_trolleys,ward_trolleys,total_trolleys,surge_open,delayed_transfers,over_24hrs_on_trolleys,over_75yrs_over_24hrs
Our Lady of Lourdes Hospital,2024-05-11,0,0,0,7,0,0,0
Our Lady's Hospital Navan,2024-05-11,0,0,0,7,0,0,0
CHI at Crumlin,2024-05-11,1,0,1,0,3,0,0
CHI at Tallaght,2024-05-11,0,0,0,0,3,0,0
CHI at Temple Street,2024-05-11,4,0,0,4,4,0,0
MRH Mullingar,2024-05-11,0,0,0,1,0,0,5
MRH Portlaoise,2024-05-11,5,0,5,5,0,0,0
MRH Tullamore,2024-05-11,0,0,0,0,6,0,0
Naas General Hospital,2024-05-11,2,0,2,0,15,0,0
St. James's Hospital,2024-05-11,5,0,5,8,0,0,0
St. Luke's Radiation Oncology Network,2024-05-11,6,0,6,27,0,0,0
Tallaght University Hospital,2024-05-11,6,0,6,27,0,0,0
National Rehabilitation Hospital,2024-05-11,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-05-11,0,0,0,25,0,0,0
St Luke's General Hospital Kilkenny,2024-05-11,0,0,0,25,12,0,0
St. Michael's Hospital,2024-05-11,14,0,58,0,0,0,0
St. Vincent's University Hospital,2024-05-11,14,0,58,2,2,1,0
Tipperary University Hospital,2024-05-11,1,0,1,0,9,0,0
UH Waterford,2024-05-11,0,0,0,2,0,0,1
Wexford General Hospital,2024-05-11,1,6,7,16,9,0,0
Bantry General Hospital,2024-05-11,0,0,0,9,0,0,0
Cork University Hospital,2024-05-11,0,0,0,9,32,0,0
Mallow General Hospital,2024-05-11,4,2,0,2,4,0,0
Mercy University Hospital,2024-05-11,2,0,2,0,0,0,0
South Infirmary Victoria University Hospital,2024-05-11,5,6,0,6,5,0,0
UH Kerry,2024-05-11,6,0,6,13,22,1,0
Ennis Hospital,2024-05-11,0,0,0,0,0,0,0
Nenagh Hospital,2024-05-11,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-05-11,4,10,19,29,4,0,0
UH Limerick,2024-05-11,10,19,29,30,29,0,0
Galway University Hospital,2024-05-11,8,0,8,22,28,0,0
Letterkenny University Hospital,2024-05-11,8,1,2,32,32,0,1
Mayo University Hospital,2024-05-11,1,3,4,0,12,0,0
Portiuncula University Hospital,2024-05-11,0,3,3,4,0,0,0
Roscommon University Hospital,2024-05-11,0,1,1,5,0,0,0
Sligo University Hospital,2024-05-11,0,1,1,5,24,0,0
Beaumont Hospital,2024-05-12,10,0,10,0,1,0,0
Cavan General Hospital,2024-05-12,0,0,0,10,0,0,0
Connolly Hospital,2024-05-12,0,0,0,0,0,0,0
Louth County Hospital,2024-05-12,1,0,1,8,0,0,0
Mater Misericordiae University Hospital,2024-05-12,1,0,1,8,0,0,0
National Orthopaedic Hospital Cappagh,2024-05-12,8,0,8,19,0,0,0
Our Lady of Lourdes Hospital,2024-05-12,8,0,8,19,0,0,0
Our Lady's Hospital Navan,2024-05-12,0,0,0,7,0,0,0
CHI at Crumlin,2024-05-12,2,0,0,3,3,0,0
CHI at Tallaght,2024-05-12,0,0,0,0,2,0,0
CHI at Temple Street,2024-05-12,2,0,2,0,4,0,0
MRH Mullingar,2024-05-12,0,0,0,0,0,0,10
MRH Portlaoise,2024-05-12,10,0,2,0,0,0,0
MRH Tullamore,2024-05-12,0,0,0,0,6,0,0
Naas General Hospital,2024-05-12,0,0,0,0,15,0,0
St. James's Hospital,2024-05-12,1,0,1,7,0,0,0
St. Luke's Radiation Oncology Network,2024-05-12,12,0,15,0,0,0,0
Tallaght University Hospital,2024-05-12,12,0,15,1,1,0,0
National Rehabilitation Hospital,2024-05-12,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-05-12,0,0,0,32,0,0,0
St Luke's General Hospital Kilkenny,2024-05-12,0,0,0,32,12,0,0
St. Michael's Hospital,2024-05-12,15,0,50,0,0,0,0
St. Vincent's University Hospital,2024-05-12,15,0,50,3,3,6,0
Tipperary University Hospital,2024-05-12,6,0,6,0,6,0,0
UH Waterford,2024-05-12,0,0,0,3,0,0,4
Wexford General Hospital,2024-05-12,4,6,21,4,4,0,0
Bantry General Hospital,2024-05-12,0,0,0,5,0,0,0
Cork University Hospital,2024-05-12,0,0,0,5,32,0,0
Mallow General Hospital,2024-05-12,4,1,0,1,4,0,0
Mercy University Hospital,2024-05-12,1,0,1,0,0,0,0
South Infirmary Victoria University Hospital,2024-05-12,5,7,0,7,5,0,0
UH Kerry,2024-05-12,7,0,7,14,22,0,0
Ennis Hospital,2024-05-12,0,0,0,0,0,0,0
Nenagh Hospital,2024-05-12,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-05-12,4,8,26,34,4,0,0
UH Limerick,2024-05-12,8,26,34,30,34,2,0
Galway University Hospital,2024-05-12,20,2,22,22,22,1,1
Letterkenny University Hospital,2024-05-12,4,8,12,2,12,1,0
Mayo University Hospital,2024-05-12,3,10,13,7,13,4,0
Portiuncula University Hospital,2024-05-12,2,0,2,4,2,0,0
Roscommon University Hospital,2024-05-12,2,2,4,22,0,0,0
Sligo University Hospital,2024-05-12,2,2,4,22,24,1,0
Beaumont Hospital,,24,0,24,20,24,1,3
Cavan General Hospital,,3,0,3,7,0,0,5
Connolly Hospital,,5,0,5,0,0,0,0
Louth County Hospital,,15,0,8,0,0,0,0
Mater Misericordiae University Hospital,,15,0,8,0,0,0,0
National Orthopaedic Hospital Cappagh,,19,0,19,26,19,0,0
Our Lady of Lourdes Hospital,,19,0,19,26,19,0,1
Our Lady's Hospital Navan,,1,0,1,7,0,0,0
CHI at Crumlin,,6,0,6,0,6,0,0
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,4,0,0,4,4,0,1
MRH Mullingar,,1,0,1,4,0,0,5
MRH Portlaoise,,5,0,5,10,2,0,0
MRH Tullamore,,0,0,0,0,6,0,0
Naas General Hospital,,6,4,10,0,10,0,0
St. James's Hospital,,11,0,10,0,0,0,0
St. Luke's Radiation Oncology Network,,23,0,23,20,23,0,0
Tallaght University Hospital,,23,0,23,20,23,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,6,0,6,34,0,0,0
St Luke's General Hospital Kilkenny,,6,0,6,34,12,0,0
St. Michael's Hospital,,19,0,19,52,19,0,0
St. Vincent's University Hospital,,19,0,19,52,19,3,8
Tipperary University Hospital,,8,0,8,0,8,1,0
UH Waterford,,0,0,0,0,15,0,7
Wexford General Hospital,,7,8,15,23,15,0,0
Bantry General Hospital,,6,0,6,18,0,0,0
Cork University Hospital,,6,0,6,18,32,0,0
Mallow General Hospital,,4,5,0,4,4,0,0
Mercy University Hospital,,5,0,4,0,0,0,0
South Infirmary Victoria University Hospital,,5,5,0,5,5,0,0
UH Kerry,,5,0,5,14,22,2,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,4,20,33,53,4,0,0
UH Limerick,,20,33,53,26,53,3,0
Galway University Hospital,,14,13,27,22,27,3,2
Letterkenny University Hospital,,7,11,18,16,18,8,0
Mayo University Hospital,,5,11,16,9,16,12,0
Portiuncula University Hospital,,5,0,7,0,0,0,0
Roscommon University Hospital,,1,4,5,12,0,0,0
Sligo University Hospital,,1,4,5,12,24,2,0
Beaumont Hospital,,27,0,27,24,27,0,3
Cavan General Hospital,,3,0,3,6,0,0,1
Connolly Hospital,,1,0,1,2,0,0,0
Louth County Hospital,,26,0,26,8,26,0,0
Mater Misericordiae University Hospital,,26,0,26,8,26,0,0
National Orthopaedic Hospital Cappagh,,16,0,27,0,0,0,0
Our Lady of Lourdes Hospital,,16,0,27,0,0,0,0
Our Lady's Hospital Navan,,0,0,0,10,0,0,0
CHI at Crumlin,,4,0,0,3,3,0,1
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,5,0,1,5,5,0,3
MRH Mullingar,,3,0,3,7,0,0,3
MRH Portlaoise,,3,0,3,9,0,0,0
MRH Tullamore,,0,0,0,5,6,0,0
Naas General Hospital,,5,4,9,5,9,0,0
St. James's Hospital,,23,0,23,12,23,0,0
St. Luke's Radiation Oncology Network,,19,13,32,15,32,0,0
Tallaght University Hospital,,19,13,32,15,32,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,5,0,5,36,0,0,0
St Luke's General Hospital Kilkenny,,5,0,5,36,10,0,0
St. Michael's Hospital,,15,0,61,0,0,0,0
St. Vincent's University Hospital,,15,0,61,2,2,14,0
Tipperary University Hospital,,14,0,14,7,14,1,0
UH Waterford,,0,0,0,0,17,0,17
Wexford General Hospital,,17,0,17,22,17,5,0
Bantry General Hospital,,21,10,31,25,31,0,0
Cork University Hospital,,21,10,31,25,31,1,0
Mallow General Hospital,,4,7,0,7,4,0,0
Mercy University Hospital,,7,0,7,5,7,0,0
South Infirmary Victoria University Hospital,,5,18,0,18,5,0,0
UH Kerry,,18,0,18,14,18,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,24,42,66,48,66,0,0
UH Limerick,,24,42,66,48,66,5,0
Galway University Hospital,,16,9,25,21,25,3,0
Letterkenny University Hospital,,16,11,27,18,27,8,0
Mayo University Hospital,,3,11,14,12,14,5,0
Portiuncula University Hospital,,7,0,7,7,7,0,0
Roscommon University Hospital,,12,6,18,12,18,0,0
Sligo University Hospital,,12,6,18,12,18,3,1
Beaumont Hospital,,8,0,8,24,0,0,6
Cavan General Hospital,,6,0,6,6,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,33,0,33,10,33,0,0
Mater Misericordiae University Hospital,,33,0,33,10,33,0,0
National Orthopaedic Hospital Cappagh,,19,0,19,23,19,0,0
Our Lady of Lourdes Hospital,,19,0,19,23,19,0,0
Our Lady's Hospital Navan,,0,2,2,7,0,0,0
CHI at Crumlin,,8,0,8,0,8,0,0
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,2,0,2,0,5,0,0
MRH Mullingar,,4,0,4,0,0,0,4
MRH Portlaoise,,4,0,4,10,11,0,0
MRH Tullamore,,0,0,0,12,6,0,0
Naas General Hospital,,7,4,11,8,11,0,0
St. James's Hospital,,11,0,12,0,0,0,0
St. Luke's Radiation Oncology Network,,27,18,45,18,45,0,0
Tallaght University Hospital,,27,18,45,18,45,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,6,0,6,9,0,0,0
St Luke's General Hospital Kilkenny,,6,0,6,9,12,0,0
St. Michael's Hospital,,16,0,58,0,0,0,0
St. Vincent's University Hospital,,16,0,58,0,6,6,0
Tipperary University Hospital,,6,0,6,7,6,1,0
UH Waterford,,0,0,0,0,14,0,6
Wexford General Hospital,,6,8,14,24,14,2,1
Bantry General Hospital,,8,4,24,0,0,0,0
Cork University Hospital,,8,4,24,32,32,0,0
Mallow General Hospital,,5,10,0,10,5,0,0
Mercy University Hospital,,10,0,10,7,10,0,0
South Infirmary Victoria University Hospital,,5,10,0,11,5,0,0
UH Kerry,,10,0,11,16,16,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,23,40,63,48,63,0,0
UH Limerick,,23,40,63,48,63,4,0
Galway University Hospital,,19,12,31,20,31,2,0
Letterkenny University Hospital,,2,7,10,30,30,0,4
Mayo University Hospital,,4,8,12,11,12,7,0
Portiuncula University Hospital,,9,0,9,7,9,0,0
Roscommon University Hospital,,11,6,17,12,17,0,0
Sligo University Hospital,,11,6,17,12,17,4,0
Beaumont Hospital,,16,0,10,0,0,11,0
Cavan General Hospital,,11,0,7,2,2,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,20,0,20,12,20,0,0
Mater Misericordiae University Hospital,,20,0,20,12,20,0,0
National Orthopaedic Hospital Cappagh,,7,0,7,20,0,0,0
Our Lady of Lourdes Hospital,,7,0,7,20,0,0,0
Our Lady's Hospital Navan,,0,0,0,7,0,0,0
CHI at Crumlin,,4,0,0,3,3,0,1
CHI at Tallaght,,1,2,0,2,2,0,3
CHI at Temple Street,,3,0,3,0,5,0,0
MRH Mullingar,,0,0,0,6,0,0,1
MRH Portlaoise,,1,0,1,0,12,0,0
MRH Tullamore,,0,0,0,23,6,0,0
Naas General Hospital,,4,4,8,4,8,0,0
St. James's Hospital,,18,0,18,12,18,0,0
St. Luke's Radiation Oncology Network,,25,17,42,19,42,0,0
Tallaght University Hospital,,25,17,42,19,42,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,6,0,6,38,0,0,0
St Luke's General Hospital Kilkenny,,6,0,6,38,14,0,0
St. Michael's Hospital,,10,0,10,52,0,0,0
St. Vincent's University Hospital,,10,0,10,52,1,1,3
Tipperary University Hospital,,3,0,3,7,16,1,0
UH Waterford,,0,0,0,0,0,0,4
Wexford General Hospital,,4,6,20,11,11,0,0
Bantry General Hospital,,5,3,8,22,0,0,0
Cork University Hospital,,5,3,8,22,33,1,0
Mallow General Hospital,,4,10,3,13,4,0,0
Mercy University Hospital,,10,3,13,6,13,0,0
South Infirmary Victoria University Hospital,,5,4,0,4,5,0,0
UH Kerry,,4,0,4,11,21,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,15,41,56,52,56,0,0
UH Limerick,,15,41,56,52,56,5,0
Galway University Hospital,,19,16,35,24,35,7,0
Letterkenny University Hospital,,9,9,18,5,18,4,0
Mayo University Hospital,,1,6,7,9,14,3,0
Portiuncula University Hospital,,12,0,12,3,12,0,0
Roscommon University Hospital,,5,13,14,27,5,0,0
Sligo University Hospital,,13,14,27,12,27,6,0
Beaumont Hospital,,12,0,5,0,0,0,0
Cavan General Hospital,,0,0,0,8,0,0,0
Connolly Hospital,,0,0,0,4,0,0,0
Louth County Hospital,,21,0,21,10,21,0,0
Mater Misericordiae University Hospital,,21,0,21,10,21,0,0
National Orthopaedic Hospital Cappagh,,13,0,21,0,0,0,0
Our Lady of Lourdes Hospital,,13,0,21,0,0,2,0
Our Lady's Hospital Navan,,2,0,2,11,0,0,0
CHI at Crumlin,,9,0,9,0,9,0,0
CHI at Tallaght,,2,0,1,2,2,0,2
CHI at Temple Street,,2,0,2,3,5,0,0
MRH Mullingar,,2,0,2,7,0,0,2
MRH Portlaoise,,2,0,2,8,11,0,0
MRH Tullamore,,0,0,0,8,6,0,0
Naas General Hospital,,6,4,10,4,10,0,0
St. James's Hospital,,30,0,30,12,30,0,0
St. Luke's Radiation Oncology Network,,14,10,24,19,24,0,0
Tallaght University Hospital,,14,10,24,19,24,1,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,27,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,27,12,0,0
St. Michael's Hospital,,1,0,1,52,0,0,0
St. Vincent's University Hospital,,1,0,1,52,0,0,3
Tipperary University Hospital,,3,0,3,5,11,0,0
UH Waterford,,0,0,0,0,0,0,0
Wexford General Hospital,,0,3,3,15,11,1,0
Bantry General Hospital,,9,0,9,12,0,0,0
Cork University Hospital,,9,0,9,12,30,1,0
Mallow General Hospital,,4,4,0,6,4,0,0
Mercy University Hospital,,4,0,6,9,9,0,0
South Infirmary Victoria University Hospital,,5,7,0,7,5,0,0
UH Kerry,,7,0,7,14,19,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,26,43,69,54,69,0,0
UH Limerick,,26,43,69,54,69,7,0
Galway University Hospital,,18,9,27,20,27,4,0
Letterkenny University Hospital,,4,6,0,25,25,0,4
Mayo University Hospital,,4,7,4,16,16,0,7
Portiuncula University Hospital,,7,0,7,5,7,0,0
Roscommon University Hospital,,7,10,17,12,17,0,0
Sligo University Hospital,,7,10,17,12,17,8,0
Beaumont Hospital,,0,0,0,2,0,0,-2
Cavan General Hospital,,-2,2,0,9,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,6,0,6,8,0,0,0
Mater Misericordiae University Hospital,,6,0,6,8,0,0,0
National Orthopaedic Hospital Cappagh,,10,0,10,16,0,0,0
Our Lady of Lourdes Hospital,,10,0,10,16,0,0,1
Our Lady's Hospital Navan,,1,0,1,7,0,0,0
CHI at Crumlin,,4,0,0,3,3,0,0
CHI at Tallaght,,0,0,0,0,2,0,0
CHI at Temple Street,,1,0,1,0,6,0,0
MRH Mullingar,,2,0,2,5,0,0,4
MRH Portlaoise,,4,0,4,0,11,0,0
MRH Tullamore,,0,0,0,0,6,0,0
Naas General Hospital,,1,0,1,0,11,0,0
St. James's Hospital,,5,0,5,12,22,0,0
St. Luke's Radiation Oncology Network,,12,0,10,0,0,0,0
Tallaght University Hospital,,12,0,10,2,2,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,27,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,27,11,0,0
St. Michael's Hospital,,5,4,0,4,5,0,0
St. Vincent's University Hospital,,4,0,4,50,0,0,1
Tipperary University Hospital,,1,0,1,0,9,0,0
UH Waterford,,0,0,0,0,0,0,1
Wexford General Hospital,,1,2,3,10,11,0,0
Bantry General Hospital,,1,0,1,7,0,0,0
Cork University Hospital,,1,0,1,7,32,1,0
Mallow General Hospital,,4,2,0,2,4,0,0
Mercy University Hospital,,2,0,2,0,0,0,0
South Infirmary Victoria University Hospital,,4,13,0,13,4,0,0
UH Kerry,,13,0,13,9,13,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,20,41,61,50,61,0,0
UH Limerick,,20,41,61,50,61,8,0
Galway University Hospital,,8,6,22,33,33,0,1
Letterkenny University Hospital,,1,0,1,0,22,0,0
Mayo University Hospital,,0,0,0,0,13,0,0
Portiuncula University Hospital,,15,5,20,5,20,0,0
Roscommon University Hospital,,2,6,11,0,0,0,0
Sligo University Hospital,,2,6,11,21,21,0,0
Beaumont Hospital,,3,0,3,6,0,0,0
Cavan General Hospital,,0,0,0,9,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,6,0,6,8,0,0,0
Mater Misericordiae University Hospital,,6,0,6,8,0,0,0
National Orthopaedic Hospital Cappagh,,16,0,20,0,0,0,0
Our Lady of Lourdes Hospital,,16,0,20,0,0,0,0
Our Lady's Hospital Navan,,0,0,0,7,0,0,0
CHI at Crumlin,,1,0,1,0,3,0,0
CHI at Tallaght,,0,0,0,0,2,0,0
CHI at Temple Street,,2,0,2,0,6,0,0
MRH Mullingar,,1,0,1,4,0,0,5
MRH Portlaoise,,5,0,5,7,11,0,0
MRH Tullamore,,0,0,0,10,6,0,0
Naas General Hospital,,4,0,0,11,11,0,10
St. James's Hospital,,10,0,10,12,22,0,0
St. Luke's Radiation Oncology Network,,29,0,29,10,29,0,0
Tallaght University Hospital,,29,0,29,10,29,5,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,27,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,27,11,0,0
St. Michael's Hospital,,5,10,0,10,5,0,0
St. Vincent's University Hospital,,10,0,10,50,0,0,1
Tipperary University Hospital,,1,0,1,0,9,0,0
UH Waterford,,0,0,0,0,0,0,7
Wexford General Hospital,,7,3,16,11,11,0,0
Bantry General Hospital,,7,2,9,5,0,0,0
Cork University Hospital,,7,2,9,5,32,1,0
Mallow General Hospital,,3,1,0,1,3,0,0
Mercy University Hospital,,1,0,1,0,0,0,0
South Infirmary Victoria University Hospital,,4,14,0,14,4,0,0
UH Kerry,,14,0,14,9,14,2,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,22,41,63,59,63,0,0
UH Limerick,,22,41,63,59,63,9,0
Galway University Hospital,,4,1,5,21,33,1,0
Letterkenny University Hospital,,0,2,2,0,22,2,0
Mayo University Hospital,,3,4,7,0,13,0,0
Portiuncula University Hospital,,13,0,13,6,13,0,0
Roscommon University Hospital,,6,8,14,12,14,0,0
Sligo University Hospital,,6,8,14,12,14,7,0
Beaumont Hospital,,18,0,18,8,18,0,5
Cavan General Hospital,,5,0,5,3,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,15,0,13,0,0,0,0
Mater Misericordiae University Hospital,,15,0,13,0,0,0,0
National Orthopaedic Hospital Cappagh,,28,0,28,25,28,0,0
Our Lady of Lourdes Hospital,,28,0,28,25,28,0,2
Our Lady's Hospital Navan,,2,0,2,11,0,0,0
CHI at Crumlin,,1,0,1,0,3,0,0
CHI at Tallaght,,0,0,0,0,2,0,0
CHI at Temple Street,,1,0,1,0,6,0,0
MRH Mullingar,,6,0,6,7,0,0,5
MRH Portlaoise,,5,0,5,9,11,1,0
MRH Tullamore,,0,0,0,16,6,0,0
Naas General Hospital,,5,3,8,3,8,0,0
St. James's Hospital,,28,0,28,12,28,3,0
St. Luke's Radiation Oncology Network,,31,0,31,18,31,0,0
Tallaght University Hospital,,31,0,31,18,31,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,36,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,36,11,0,0
St. Michael's Hospital,,5,20,0,20,5,0,0
St. Vincent's University Hospital,,20,0,20,50,20,2,7
Tipperary University Hospital,,7,0,7,7,7,1,0
UH Waterford,,0,0,0,0,15,0,7
Wexford General Hospital,,7,8,15,20,15,3,0
Bantry General Hospital,,16,5,21,13,21,0,0
Cork University Hospital,,16,5,21,13,21,2,2
Mallow General Hospital,,3,4,0,0,3,0,0
Mercy University Hospital,,4,0,0,0,0,0,0
South Infirmary Victoria University Hospital,,4,14,7,21,4,0,0
UH Kerry,,14,7,21,11,21,4,1
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,29,52,81,49,81,0,0
UH Limerick,,29,52,81,49,81,6,0
Galway University Hospital,,14,6,20,20,20,2,0
Letterkenny University Hospital,,3,2,5,0,22,2,0
Mayo University Hospital,,0,4,4,5,13,4,0
Portiuncula University Hospital,,13,0,13,7,13,0,0
Roscommon University Hospital,,8,11,19,12,19,0,0
Sligo University Hospital,,8,11,19,12,19,8,0
Beaumont Hospital,,22,0,22,14,22,0,5
Cavan General Hospital,,5,0,5,4,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,23,0,23,8,23,0,0
Mater Misericordiae University Hospital,,23,0,23,8,23,0,0
National Orthopaedic Hospital Cappagh,,19,0,19,22,19,0,0
Our Lady of Lourdes Hospital,,19,0,19,22,19,0,2
Our Lady's Hospital Navan,,2,0,2,6,0,0,0
CHI at Crumlin,,7,0,7,0,7,0,0
CHI at Tallaght,,2,0,0,2,2,0,1
CHI at Temple Street,,1,0,1,1,5,0,0
MRH Mullingar,,3,0,3,7,0,0,5
MRH Portlaoise,,5,0,5,10,11,0,0
MRH Tullamore,,0,0,0,19,11,0,7
Naas General Hospital,,7,4,11,2,11,0,0
St. James's Hospital,,26,0,26,26,26,2,0
St. Luke's Radiation Oncology Network,,24,9,33,18,33,0,0
Tallaght University Hospital,,24,9,33,18,33,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,3,4,7,35,0,0,0
St Luke's General Hospital Kilkenny,,3,4,7,35,11,0,0
St. Michael's Hospital,,5,24,0,24,5,0,0
St. Vincent's University Hospital,,24,0,24,52,24,2,6
Tipperary University Hospital,,6,0,6,8,6,1,0
UH Waterford,,0,0,0,0,23,0,14
Wexford General Hospital,,14,9,23,23,23,4,0
Bantry General Hospital,,25,17,42,29,42,0,0
Cork University Hospital,,25,17,42,29,42,1,0
Mallow General Hospital,,2,9,0,9,2,0,0
Mercy University Hospital,,9,0,9,0,9,0,0
South Infirmary Victoria University Hospital,,4,20,6,26,4,0,0
UH Kerry,,20,6,26,14,26,5,1
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,5,22,41,63,5,0,0
UH Limerick,,22,41,63,48,63,2,0
Galway University Hospital,,2,1,3,20,34,0,0
Letterkenny University Hospital,,5,6,0,21,21,0,3
Mayo University Hospital,,3,7,0,11,11,0,4
Portiuncula University Hospital,,4,0,9,0,0,0,0
Roscommon University Hospital,,8,8,16,12,16,0,0
Sligo University Hospital,,8,8,16,12,16,3,0
Beaumont Hospital,,15,0,16,0,14,12,2
Cavan General Hospital,,12,2,14,7,14,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,26,0,26,8,26,0,0
Mater Misericordiae University Hospital,,26,0,26,8,26,0,0
National Orthopaedic Hospital Cappagh,,23,0,23,21,23,0,0
Our Lady of Lourdes Hospital,,23,0,23,21,23,0,4
Our Lady's Hospital Navan,,4,0,7,0,0,0,0
CHI at Crumlin,,6,0,6,0,6,0,0
CHI at Tallaght,,3,0,0,2,2,0,2
CHI at Temple Street,,2,0,2,0,5,0,0
MRH Mullingar,,3,0,3,7,0,0,9
MRH Portlaoise,,9,0,10,0,0,0,0
MRH Tullamore,,0,0,0,17,8,0,7
Naas General Hospital,,7,1,8,5,8,0,0
St. James's Hospital,,15,0,26,23,23,0,0
St. Luke's Radiation Oncology Network,,23,10,33,19,33,0,0
Tallaght University Hospital,,23,10,33,19,33,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,1,1,2,29,0,0,0
St Luke's General Hospital Kilkenny,,1,1,2,29,14,0,0
St. Michael's Hospital,,10,0,10,57,0,0,0
St. Vincent's University Hospital,,10,0,10,57,24,1,0
Tipperary University Hospital,,6,0,6,7,6,2,0
UH Waterford,,0,0,0,0,13,0,8
Wexford General Hospital,,8,5,13,21,13,4,0
Bantry General Hospital,,32,16,48,26,48,0,0
Cork University Hospital,,32,16,48,26,48,3,2
Mallow General Hospital,,3,8,0,8,3,0,0
Mercy University Hospital,,8,0,8,4,8,0,0
South Infirmary Victoria University Hospital,,4,17,6,23,4,0,0
UH Kerry,,17,6,23,14,23,8,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,5,24,40,64,5,0,0
UH Limerick,,24,40,64,46,64,3,0
Galway University Hospital,,3,0,3,20,34,0,0
Letterkenny University Hospital,,5,3,0,24,24,0,0
Mayo University Hospital,,0,2,2,0,12,0,0
Portiuncula University Hospital,,7,2,9,2,9,0,0
Roscommon University Hospital,,4,14,18,11,18,0,0
Sligo University Hospital,,4,14,18,11,18,7,0
Beaumont Hospital,,11,0,11,0,20,20,0
Cavan General Hospital,,20,0,20,6,20,2,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,20,0,20,8,20,0,0
Mater Misericordiae University Hospital,,20,0,20,8,20,1,1
National Orthopaedic Hospital Cappagh,,12,0,21,0,0,0,0
Our Lady of Lourdes Hospital,,12,0,21,0,0,1,0
Our Lady's Hospital Navan,,1,0,1,11,0,0,0
CHI at Crumlin,,1,0,1,0,3,0,0
CHI at Tallaght,,1,0,1,0,2,0,0
CHI at Temple Street,,2,0,2,0,4,0,0
MRH Mullingar,,0,0,0,5,14,0,14
MRH Portlaoise,,14,0,14,10,14,0,0
MRH Tullamore,,0,0,0,15,6,0,0
Naas General Hospital,,0,0,0,0,11,0,0
St. James's Hospital,,25,0,25,19,25,1,0
St. Luke's Radiation Oncology Network,,14,0,19,0,0,0,0
Tallaght University Hospital,,14,0,19,1,1,0,0
